Ensembl Gene ID	Ensembl Transcript ID	Gene Start (bp)	Gene End (bp)	Chromosome Name	Gene type
ENSG00000223116	ENST00000411184	23551994	23552136	13	miRNA
ENSG00000212057	ENST00000390768	95117554	95117644	13	miRNA
ENSG00000252695	ENST00000516886	24736555	24736643	13	miRNA
ENSG00000266216	ENST00000582879	25129366	25129451	13	miRNA
ENSG00000211508	ENST00000390174	25183217	25183313	13	miRNA
ENSG00000263399	ENST00000582699	98860778	98860854	13	miRNA
ENSG00000221324	ENST00000408397	25820669	25820753	13	miRNA
ENSG00000207719	ENST00000384986	100008385	100008482	13	miRNA
ENSG00000266207	ENST00000582220	100105650	100105723	13	miRNA
ENSG00000263615	ENST00000583390	100295313	100295403	13	miRNA
ENSG00000221756	ENST00000408829	27894150	27894296	13	miRNA
ENSG00000221670	ENST00000408743	29796699	29796778	13	miRNA
ENSG00000265164	ENST00000581814	102619992	102620096	13	miRNA
ENSG00000264482	ENST00000577547	102698284	102698354	13	miRNA
ENSG00000266816	ENST00000579551	30780753	30780836	13	miRNA
ENSG00000222643	ENST00000410711	106780720	106780837	13	miRNA
ENSG00000239050	ENST00000459108	107627286	107627374	13	miRNA
ENSG00000221316	ENST00000408389	107773381	107773471	13	miRNA
ENSG00000221650	ENST00000408723	108183519	108183596	13	miRNA
ENSG00000221473	ENST00000408546	108288379	108288464	13	miRNA
ENSG00000265841	ENST00000580069	20058408	20058482	21	miRNA
ENSG00000221041	ENST00000408114	20076689	20076772	21	miRNA
ENSG00000221677	ENST00000408750	33615489	33615580	13	miRNA
ENSG00000264989	ENST00000578654	112563079	112563148	13	miRNA
ENSG00000221210	ENST00000408283	22770068	22770146	21	miRNA
ENSG00000264726	ENST00000582601	113372159	113372228	13	miRNA
ENSG00000264288	ENST00000577451	33911020	33911109	13	miRNA
ENSG00000212051	ENST00000390762	21901650	21901699	18	miRNA
ENSG00000263663	ENST00000408071	34486129	34486218	13	miRNA
ENSG00000264539	ENST00000582191	115009980	115010036	13	miRNA
ENSG00000265450	ENST00000580432	115039303	115039383	13	miRNA
ENSG00000221519	ENST00000408592	36068551	36068674	13	miRNA
ENSG00000266047	ENST00000581522	36929928	36930015	13	miRNA
ENSG00000222602	ENST00000410670	37302739	37302829	13	miRNA
ENSG00000221100	ENST00000408173	37608814	37608929	13	miRNA
ENSG00000212049	ENST00000390760	39364781	39364891	13	miRNA
ENSG00000216014	ENST00000401195	40226715	40226806	13	miRNA
ENSG00000264171	ENST00000583252	40238171	40238272	13	miRNA
ENSG00000211491	ENST00000390157	41301964	41302011	13	miRNA
ENSG00000207652	ENST00000384919	41384902	41384997	13	miRNA
ENSG00000264226	ENST00000577639	41675155	41675236	13	miRNA
ENSG00000263907	ENST00000584422	42019427	42019503	13	miRNA
ENSG00000263928	ENST00000582215	42020193	42020261	13	miRNA
ENSG00000264042	ENST00000582164	42024148	42024235	13	miRNA
ENSG00000264190	ENST00000583027	42142422	42142531	13	miRNA
ENSG00000265679	ENST00000582753	42747126	42747223	13	miRNA
ENSG00000252846	ENST00000517037	24166678	24166762	18	miRNA
